Year,NTACode,NTAName,BusApps,TotalBikeLanesFt,TotalPop,FemalePct,MedianAge,BachDegreeOrHigherPct,UnempPCT,MeanHouseIncome,y18
2018,MN06,Manhattanville,20,9427.090988,23673,53.6,33.5,29.6,3.7,55639,1
2010,SI07,Westerleigh,18,0,23966,50.9,40.9,36.9,2.7,109827,0
2010,QN06,Jamaica Estates-Holliswood,15,0,23989,53.5,44.2,40.8,4.4,100452,0
2018,SI07,Westerleigh,36,8439.648869,24111,50,36.5,37.4,4.4,97647,1
2018,BK09,Brooklyn Heights-Cobble Hill,15,15867.17453,24168,52.3,37.4,80.4,2.1,215829,1
2018,QN50,Elmhurst-Maspeth,26,11784.07551,24234,48.8,40.6,29.6,2.3,77369,1
2018,SI11,Charleston-Richmond Valley-Tottenville,29,7117.919249,24275,51.5,39.5,37.7,2.6,114781,1
2018,QN44,Glen Oaks-Floral Park-New Hyde Park,19,12183.82416,24365,54.5,49,42.4,2.6,103468,1
2018,QN56,Ozone Park,46,0,24511,52.5,36.4,25,4.5,90427,1
2018,QN71,Old Astoria,30,18903.94973,24732,50.2,34.5,45.9,4.3,85973,1
2010,SI37,Stapleton-Rosebank,34,17777.33013,24747,50,34.3,27.4,3.5,76214,0
2018,QN23,College Point,22,0,24795,49.8,38.7,18.1,2.5,75602,1
2010,SI48,Arden Heights,9,0,24853,50.5,38.7,29.2,4.1,116114,0
2010,SI36,Old Town-Dongan Hills-South Beach,22,16777.85963,25030,51.1,39.8,25.1,3.6,83433,0
2010,QN43,Bellerose,21,12117.27623,25296,49.6,38.1,37.3,5.3,97777,0
2018,SI37,Stapleton-Rosebank,38,37114.92342,25347,50.8,38.3,29.8,3.5,73006,1
2010,QN50,Elmhurst-Maspeth,28,0,25349,49.6,37.2,26.4,3.1,75898,0
2010,BK68,Fort Greene,30,27599.29498,25393,56,33.8,49.4,5.8,89212,0
2018,SI36,Old Town-Dongan Hills-South Beach,31,28805.4911,25453,52.2,41.1,29.4,2.4,87523,1
2010,QN66,Laurelton,13,399.5227103,25521,55.8,41.2,26.5,4,104916,0
2018,QN45,Douglas Manor-Douglaston-Little Neck,16,1747.363999,25633,52.8,48.6,46.4,2.6,112436,1
2018,QN52,East Flushing,11,2659.348013,25677,50.4,44.5,22.4,2.3,70263,1
2010,BX33,Longwood,28,9129.370922,25715,53.4,27.5,8.4,6.8,40838,0
2010,MN21,Gramercy,18,10169.10913,25787,55.4,34.8,79.4,5.8,163012,0
2010,BX10,Pelham Bay-Country Club-City Island,22,0,26001,53.3,43.7,25.4,3.9,79634,0
2018,QN05,Rosedale,16,8883.63542,26117,53.8,38.3,26.2,3.8,100691,1
2018,BX27,Hunts Point,38,45269.30684,26196,50,31.2,11.1,5.5,38489,1
2010,QN02,Springfield Gardens North,4,750.5397362,26495,58.1,40.1,18.9,7,69790,0
2018,QN06,Jamaica Estates-Holliswood,20,0,26517,51.1,42.2,43.9,4.5,97199,1
2018,QN66,Laurelton,17,399.5226931,26544,52.8,42,28.4,5.5,100924,1
2010,BX06,Belmont,31,0,26657,51.3,25.3,10.9,5.9,34156,0
2010,QN05,Rosedale,11,8883.634916,26668,55.3,35.9,27,5.2,104057,0
2010,BK27,Bath Beach,26,6844.889058,26694,51.8,40.7,22.4,3.5,68207,0
2010,MN17,Midtown-Midtown South,249,20638.36257,26777,52,36.4,75.9,4.5,190796,0
2010,QN71,Old Astoria,35,14475.32415,26846,50.1,32.5,35.5,6,70062,0
