Year,NTACode,NTAName,BusApps,TotalBikeLanesFt,TotalPop,FemalePct,MedianAge,BachDegreeOrHigherPct,UnempPCT,MeanHouseIncome,y18
2018,QN61,Jamaica,94,4332.132106,53932,51.2,36,22.5,5.5,63445,1
2010,QN25,Corona,28,0,54022,50.1,32.6,16.8,5.8,64421,0
2018,QN26,North Corona,78,15017.86671,54146,46.8,31.2,7.3,3.6,68097,1
2018,BX39,Mott Haven-Port Morris,61,40009.3127,54163,52.3,30.2,8.6,6.7,35589,1
2018,QN34,Queens Village,34,8370.928699,54256,52.1,40.2,23.7,6.5,90916,1
2018,BK43,Midwood,42,10651.17374,54637,51.4,34.1,44.6,3.8,87150,1
2018,BK96,Rugby-Remsen Village,44,9748.692956,54666,56,40.3,24.2,4.8,65997,1
2018,BK32,Sunset Park West,81,41641.7213,54667,47.5,33.6,26.6,4.7,76037,1
2018,BX09,Soundview-Castle Hill-Clason Point-Harding Park,32,35545.82035,54925,55.2,35.9,16.8,5.1,58824,1
2018,MN40,Upper East Side-Carnegie Hill,73,12490.51641,55649,55.4,51.2,85.6,1.9,332403,1
2010,BK96,Rugby-Remsen Village,37,9748.693167,55663,54.9,38.1,16.1,6.1,64594,0
2010,BK32,Sunset Park West,73,5159.330662,55748,46.5,31.4,20.1,5.5,61907,0
2010,QN53,Woodhaven,56,0,55766,51.4,33.9,20.8,7.8,77177,0
2010,BX36,University Heights-Morris Heights,27,14142.50694,55799,54.1,29,11.2,12.6,40594,0
2018,BX36,University Heights-Morris Heights,39,22286.53981,56293,54.4,30.6,13.1,6.7,38224,1
2018,QN15,Far Rockaway-Bayswater,25,12192.83456,56522,53.8,31.6,28,5,67475,1
2018,BK73,North Side-South Side,100,66001.86346,57036,49.9,32.4,59.3,3.5,126056,1
2018,BK77,Bushwick North,87,37439.54865,57051,48.8,30.7,30.3,4.7,69755,1
2010,QN34,Queens Village,22,8370.928693,57481,51,37.4,24.5,6,96923,0
2018,BX05,Bedford Park-Fordham North,52,13170.5896,57685,51,31.6,14.5,7.9,54033,1
2010,MN19,Turtle Bay-East Midtown,64,14088.66862,58048,54.5,41.2,78.9,3.2,202514,0
2018,QN25,Corona,40,721.7989347,58498,48.9,34.2,16.8,3,61173,1
2010,QN31,Hunters Point-Sunnyside-West Maspeth,75,27534.61007,59198,50.6,35.4,35.1,5.3,79866,0
2010,MN14,Lincoln Square,32,8604.677436,59387,52.8,38.9,79.4,4.2,220214,0
2018,MN33,East Harlem South,43,25588.63782,59869,55,36.1,37,5.8,78355,1
2010,MN33,East Harlem South,46,9162.62547,59914,52.1,33.1,29.6,6.9,74529,0
2010,BK77,Bushwick North,79,0,59970,48.8,28.5,13.8,3.9,50502,0
2010,BX14,East Concourse-Concourse Village,38,13177.4412,59990,52.6,32.1,12.6,7.4,41281,0
2010,MN34,East Harlem North,81,28144.69888,60499,54.9,31.1,18.9,7.9,47593,0
2018,QN53,Woodhaven,69,0,60572,50.2,36.9,23.8,4.6,85858,1
2010,MN40,Upper East Side-Carnegie Hill,37,4339.506035,60780,55,46.8,82.5,2.6,335841,0
2010,BX44,Williamsbridge-Olinville,48,6367.143797,60849,55.7,33.5,21.2,7.7,61911,0
2010,BK29,Bensonhurst East,63,10906.13339,60887,51.4,39.2,21.1,4.2,64471,0
2010,BK35,Stuyvesant Heights,46,13393.74661,61410,55.9,33,20.2,6.9,55321,0
2010,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,42,34473.90017,61450,52.4,43.9,37.6,3.9,77688,0
2010,QN54,Richmond Hill,77,0,62604,50.4,34.1,20.8,6.3,77169,0
2018,MN14,Lincoln Square,49,13922.87114,62685,56.2,41.7,81.8,2.8,218554,1
2018,MN34,East Harlem North,66,48924.36608,62810,53.7,34.1,26.9,4.8,52105,1
2018,BX14,East Concourse-Concourse Village,49,15864.76578,64850,53.4,33.9,16.7,6.3,46920,1
2018,QN54,Richmond Hill,102,0,65068,49.7,35.6,22.1,4.6,82325,1
2018,BK29,Bensonhurst East,56,17131.75126,65502,51.2,40.1,31.2,4,73042,1
2018,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,68,34473.90022,65631,51.8,44.3,41.2,4.1,84027,1
2010,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,120,42709.01725,66129,49,38.2,69.8,5,173275,0
2018,MN23,West Village,148,69130.59756,66258,51.1,37.6,84.4,3.1,213703,1
2018,BK34,Sunset Park East,72,26348.12396,66348,50.4,34.1,17.7,3.5,62320,1
2010,BK60,Prospect Lefferts Gardens-Wingate,48,27532.27317,66537,56.5,36.5,20.2,8.7,58987,0
2018,BX44,Williamsbridge-Olinville,53,40345.32697,66606,54.4,34.9,20,7.6,59194,1
2010,QN22,Flushing,98,5370.085461,66943,52.2,42.2,28.1,6.3,61048,0
2010,MN23,West Village,98,50111.73048,67305,52.3,35.8,82.3,3.9,194048,0
2010,BK75,Bedford,46,36364.81666,68202,53.6,28.2,21.4,5.7,53429,0
2018,MN28,Lower East Side,59,55156.23449,68404,54.8,42.5,33.3,3.3,63782,1
2010,QN20,Ridgewood,87,0,68414,50.5,32.9,18.8,4.8,65410,0
2010,BK78,Bushwick South,68,19784.49375,69093,52.5,29.8,14.7,6.1,49868,0
2018,BK60,Prospect Lefferts Gardens-Wingate,49,27835.9068,69111,55.5,36.1,31.1,5.3,72416,1
2018,BK35,Stuyvesant Heights,60,13393.74666,69260,53.3,33.8,32.1,5.9,72918,1
2018,QN31,Hunters Point-Sunnyside-West Maspeth,97,79836.76126,69295,48.3,36.6,48.3,3.2,104067,1
2010,BK34,Sunset Park East,90,13846.4057,69526,50,32.6,15.4,5.4,54998,0
2010,BK58,Flatlands,65,14867.95011,70189,52.7,35.9,27.6,5,81158,0
2018,QN22,Flushing,96,8227.84877,70219,54.5,43.8,20.2,2.1,56347,1
2010,BK37,Park Slope-Gowanus,56,49843.06262,71058,52,35,67.7,4.8,143386,0
2010,MN35,Washington Heights North,67,21369.99159,71364,53.1,35.6,36.5,8.1,64814,0
2018,BK58,Flatlands,73,14867.95024,72186,53,37.8,31.6,5.1,92808,1
2018,BK78,Bushwick South,76,44137.08912,72925,51.5,30.7,28,6.3,66570,1
2018,MN35,Washington Heights North,66,38322.72206,73052,51.1,37.3,39.8,6.5,71900,1
2018,BK37,Park Slope-Gowanus,85,80544.53033,74731,52.2,36,77.1,3.2,176550,1
2018,QN70,Astoria,134,29468.52988,74767,51.8,34.9,50.6,4.6,83094,1
2010,MN28,Lower East Side,37,43117.15164,75055,52.1,37.9,30,6,66682,0
2018,QN20,Ridgewood,74,32023.76523,75437,50.3,33.9,27.2,3.5,81047,1
2018,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,145,75283.86502,76863,47.3,37.8,75.2,3.2,189927,1
2010,QN70,Astoria,92,21166.3243,76898,50.7,34.9,38.2,6.6,72583,0
2010,MN03,Central Harlem North-Polo Grounds,46,8980.037829,76922,55.1,34.6,27.5,9.1,54886,0
2010,MN31,Lenox Hill-Roosevelt Island,51,28606.16828,77246,55.9,37.5,76.8,2.8,168805,0
2010,QN55,South Ozone Park,101,0,77556,51,35,16,6.2,80062,0
2018,BK75,Bedford,49,37714.67821,77847,52.7,29.5,35.5,5.4,75825,1
2010,MN32,Yorkville,39,16431.75786,78203,55.8,37.5,76.4,3.9,171556,0
2018,MN32,Yorkville,69,20977.2529,78241,57.7,37.1,80.1,2.4,168839,1
2018,BK31,Bay Ridge,120,74834.02775,79187,51.6,39.7,48.5,3.7,97326,1
2010,BK31,Bay Ridge,69,50367.57798,81232,51.6,38.6,41.3,4.4,87881,0
2018,MN31,Lenox Hill-Roosevelt Island,101,51411.06041,81559,54.6,38.3,77.3,1.6,184460,1
2010,BK28,Bensonhurst West,86,2499.211426,81667,51.6,39,19.8,4,65151,0
2018,QN29,Elmhurst,86,8199.079663,81745,49.8,37.5,25.6,3.2,65330,1
2010,QN29,Elmhurst,108,0,82564,49,35.1,23.5,4.1,63990,0
2018,QN55,South Ozone Park,104,2087.994879,82931,50.8,38.8,19.6,5.3,90789,1
2010,QN17,Forest Hills,45,0,83269,55,41.8,55.9,4.5,100249,0
2010,BK50,Canarsie,48,7824.553726,83433,55.7,35.3,25.6,3.9,81183,0
2018,MN03,Central Harlem North-Polo Grounds,61,26288.53144,86117,55.3,34.9,34.2,7.5,71178,1
2018,QN17,Forest Hills,70,11590.33878,88313,54.2,42.9,59.4,2.9,104553,1
2018,BK50,Canarsie,54,21035.50104,88522,56.6,37.4,27.5,3.9,82561,1
2010,MN36,Washington Heights South,76,21347.57925,90285,50.3,34.4,22.6,9.7,56746,0
2018,BK28,Bensonhurst West,101,3892.794615,90847,50.8,38.3,28.6,4.4,73256,1
2010,BK82,East New York,69,20687.72533,91147,55,31.2,12.6,5.4,50848,0
2018,MN36,Washington Heights South,68,48223.76569,93663,50.3,35,29.6,6.1,67649,1
2018,BK82,East New York,76,57554.48765,96755,55.2,33.6,14.7,5.1,52601,1
2018,QN28,Jackson Heights,92,33864.60888,98728,49.9,40.2,27.1,3.3,75438,1
2010,BK61,Crown Heights North,96,45020.06763,100025,55.8,33.1,21.3,6.6,53053,0
2018,BK88,Borough Park,68,8761.286167,102494,49.1,24.7,19.3,2.8,64990,1
2010,BK88,Borough Park,55,2501.156514,104988,49.1,25.9,18.6,4,61865,0
2010,BK42,Flatbush,83,13232.14168,105347,54.1,33.9,25.3,5.4,63771,0
2018,BK42,Flatbush,119,43404.52492,106883,54,34.8,34.8,4.6,74156,1
2010,QN28,Jackson Heights,82,13811.85638,107057,49.9,36.7,26.2,5.5,72427,0
2018,BK61,Crown Heights North,82,72219.38841,109987,54.5,34,34.9,4.7,69419,1
2018,MN12,Upper West Side,114,62764.19823,132455,54.7,43.5,74.7,3.5,205755,1
2010,MN12,Upper West Side,87,41304.67912,138076,54.4,40.6,72.1,3.9,182390,0
